time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10689.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10690.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10691.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10692.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10693.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10694.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10695.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10696.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10697.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10698.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10699.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10700.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10701.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10702.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10703.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10704.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10705.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10706.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10707.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10708.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10709.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10710.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10711.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10712.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10713.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10714.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10715.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10716.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10717.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10718.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10719.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10720.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10721.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10722.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10723.0,1000,1000,1000,1000,306,1000,1000,1000,1000
10724.0,1000,1000,1000,1000,306,1000,1000,1000,1000
10725.0,1000,1000,1000,1000,306,1000,1000,1000,1000
10726.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10727.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10728.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10729.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10730.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10731.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10732.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10733.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10734.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10735.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10736.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10737.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10738.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10739.0,1000,1000,1000,1000,305,1000,1000,1000,1000
